vin_label,archetype,flags,fcr_base,fcr_120,fcr_ratio,retry_120,max_daily_failed_120,dip_depth_delta,vsi_drive_std_ratio,rest_vsi_slope_120,rest_vsi_delta,density_taper,silent_gap_d,n_events_120,sma_dead,hclust_k3,hclust_k4
VIN10_F_SM,A1_solenoid_intermittency,CRANK_BURST+VSI_VOLATILITY,0.1,0.4333,4.33,0.2833,8.0,-0.915,2.557,0.0,-0.649,1.333,0,60,False,1,1
VIN11_F_SM,A3_vsi_volatility_only,VSI_VOLATILITY,0.0519,0.0351,0.68,0.0175,2.0,1.653,1.82,0.0,-0.077,0.926,0,57,False,2,2
VIN12_F_SM,A3_vsi_volatility_only,VSI_VOLATILITY,0.0154,0.0225,1.46,0.0112,1.0,0.313,2.316,-0.025,0.262,1.155,0,89,False,2,2
VIN13_F_SM,A2_battery_cascade,BATTERY_DECLINE+VSI_VOLATILITY,0.0,0.0417,,0.0208,1.0,1.088,2.797,0.0154,-0.663,1.089,0,48,False,2,2
VIN14_F_SM,A1+A2_mixed,CRANK_BURST+BATTERY_DECLINE+VSI_VOLATILITY,0.2524,0.4494,1.78,0.2975,12.0,0.882,5.364,0.05,-2.453,0.834,0,158,False,1,1
VIN1_F_SM,A1_solenoid_then_silent,CRANK_BURST+SILENT_GAP_72d,0.0795,0.1981,2.49,0.1415,9.0,-0.032,1.029,-0.075,-0.313,0.005,72,106,False,3,4
VIN2_F_SM,A2_battery_cascade,CRANK_BURST+BATTERY_DECLINE+VSI_VOLATILITY,0.2326,0.172,0.74,0.0538,8.0,1.659,1.193,-0.082,-0.727,1.257,0,93,False,2,3
VIN3_F_SM,A2_battery_cascade,BATTERY_DECLINE+VSI_VOLATILITY,0.0,0.0154,,0.0,2.0,0.864,1.984,-0.0233,-1.002,0.79,0,130,False,2,2
VIN4_F_SM,A4_silent_abrupt,VSI_VOLATILITY+SILENT_GAP_97d,0.0227,0.03,1.32,0.02,6.0,-0.291,1.167,0.0,0.0,0.914,97,200,False,2,2
VIN5_F_SM,A4_silent_abrupt,SILENT_GAP_32d,0.2405,,,,,,,,,0.518,32,0,False,2,2
VIN6_F_SM,A2_battery_cascade,BATTERY_DECLINE+VSI_VOLATILITY,0.0397,0.0769,1.94,0.0154,1.0,3.649,3.849,-0.0375,-2.116,0.784,0,65,False,2,3
VIN7_F_SM,A3_vsi_volatility_only,VSI_VOLATILITY,0.0721,0.0443,0.61,0.0542,5.0,0.111,2.574,0.0,-0.137,1.341,0,203,False,2,2
VIN8_F_SM,A4_silent_abrupt,VSI_VOLATILITY+SILENT_GAP_37d,0.1032,0.0047,0.05,0.0234,1.0,0.748,1.33,0.0,-0.273,0.832,37,427,True,2,2
VIN9_F_SM,A4_silent_abrupt,SILENT_GAP_142d,0.1153,0.0323,0.28,0.0194,2.0,0.078,1.02,0.0,0.109,0.915,142,155,True,2,2
