probe,lovo_auroc,ci95_lo,ci95_hi,n_boot_valid,vs_baseline_0.893,note
a1 PCA3(vsi_drive_std) + logistic,0.8679,0.6923,0.9963,1000,-0.0251,
a2 PCA3(vsi_drive_mean) + logistic,0.6857,0.4757,0.8647,1000,-0.2073,
a3 PCA3(std||mean concat) + logistic,0.9,0.7571,0.9931,1000,0.007,
b1 lin+quad+final8 slopes (std) + Ridge,0.9179,0.8166,0.9961,1000,0.0249,
b2 lin+quad+final8 slopes (mean) + Ridge,0.6393,0.4469,0.8264,1000,-0.2537,
"b3 trend coeffs (std+mean, 8 feats) + Ridge",0.925,0.8246,1.0,1000,0.032,
c eucl 1-NN margin (std),0.9143,0.8105,0.9931,1000,0.0213,
c 1-corr 1-NN margin (std),0.9071,0.7824,0.9931,1000,0.0141,
c kernelPCA3(RBF-eucl) + logistic (std),0.8964,0.7543,0.993,1000,0.0034,
c eucl 1-NN margin (mean),0.7214,0.5286,0.8902,1000,-0.1716,
c 1-corr 1-NN margin (mean),0.7286,0.5398,0.9062,1000,-0.1644,
c kernelPCA3(RBF-eucl) + logistic (mean),0.6571,0.4469,0.8501,1000,-0.2359,
e TinyLSTM h=2 (43p) seed=0 (std),0.9179,0.8068,0.9929,1000,0.0249,
e TinyLSTM h=2 (43p) seed=1 (std),0.8821,0.7499,0.9822,1000,-0.0109,
e TinyLSTM h=2 (43p) seed=2 (std),0.8536,0.6703,0.9904,1000,-0.0394,
