k_weeks,auroc,ci95_lo,ci95_hi,n_usable,n_failed_usable,median_score_failed,median_score_nf,median_separation,cov_f1,cov_f2,cov_f3,cov_f4
0,0.8607,0.7271,0.9648,34,14,0.5436,0.1899,0.3537,1.0,1.0,0.79,1.0
1,0.8357,0.6615,0.9778,34,14,0.7319,0.2185,0.5134,1.0,1.0,0.79,1.0
2,0.8714,0.715,0.9884,34,14,0.7039,0.1991,0.5047,1.0,1.0,0.79,1.0
3,0.8571,0.6866,0.9677,34,14,0.6927,0.2227,0.47,1.0,1.0,0.79,1.0
4,0.9179,0.807,1.0,34,14,0.7672,0.2272,0.5401,1.0,1.0,0.79,1.0
5,0.8964,0.7771,0.9855,34,14,0.5798,0.2327,0.3471,1.0,1.0,0.79,1.0
6,0.8679,0.751,0.9791,34,14,0.5826,0.2391,0.3434,1.0,1.0,0.79,1.0
7,0.8357,0.6848,0.9553,34,14,0.5744,0.2525,0.3218,1.0,0.97,0.79,1.0
8,0.9214,0.8067,1.0,34,14,0.5148,0.2243,0.2905,1.0,0.97,0.79,1.0
9,0.9036,0.7955,0.9843,34,14,0.5607,0.1991,0.3617,0.97,0.97,0.79,1.0
10,0.8571,0.6957,0.9752,34,14,0.5779,0.2271,0.3508,1.0,1.0,0.79,1.0
11,0.5357,0.3042,0.7446,34,14,0.3776,0.3278,0.0498,1.0,1.0,0.79,1.0
12,0.6286,0.3741,0.8567,34,14,0.3628,0.3126,0.0502,1.0,1.0,0.79,1.0
13,0.5143,0.3086,0.7355,34,14,0.3343,0.3225,0.0118,1.0,1.0,0.79,1.0
14,0.6214,0.4065,0.8371,34,14,0.3991,0.3146,0.0845,1.0,1.0,0.79,1.0
15,0.7385,0.5563,0.9052,33,13,0.422,0.2322,0.1898,0.97,0.97,0.79,0.97
16,0.7462,0.5546,0.9006,33,13,0.4612,0.2611,0.2001,0.97,0.97,0.79,0.97
17,0.7885,0.6107,0.9303,33,13,0.4513,0.2559,0.1954,0.97,0.97,0.79,0.97
18,0.6875,0.4738,0.8916,32,12,0.457,0.2875,0.1695,0.94,0.94,0.79,0.94
19,0.6917,0.4735,0.8794,32,12,0.457,0.3027,0.1542,0.94,0.94,0.79,0.94
20,0.375,0.1603,0.6176,32,12,0.2974,0.3343,-0.0369,0.94,0.94,0.76,0.94
21,0.3167,0.1102,0.5315,32,12,0.3172,0.3516,-0.0344,0.94,0.94,0.76,0.94
22,0.425,0.1934,0.6539,32,12,0.3005,0.3248,-0.0242,0.94,0.94,0.76,0.94
23,0.6208,0.3856,0.8326,32,12,0.3676,0.2545,0.1131,0.94,0.94,0.74,0.94
24,0.6591,0.4527,0.866,31,11,0.3534,0.2866,0.0668,0.91,0.91,0.74,0.91
25,0.6591,0.4553,0.8554,31,11,0.3336,0.2482,0.0854,0.91,0.91,0.74,0.91
26,0.5773,0.3406,0.7797,31,11,0.383,0.3194,0.0636,0.91,0.91,0.74,0.91
