vin_label,failed,tier,pers_end_fire,a1_fire,a2_fire,first_channel,first_fire_date,lead_vs_t_end_d,lead_vs_jcopen_d,nf_alarm_channels,nf_lifetime_pers_episodes
VIN10_F_SM,1,RED,True,True,False,A1_crank_burst,2025-07-22,160.0,160.0,,
VIN10_NF_SM,0,AMBER,False,n/a (SMA-dead),False,NONE,,,,1.0,1.0
VIN11_F_SM,1,RED,True,True,False,persistence,2025-02-24,266.0,266.0,,
VIN11_NF_SM,0,GREEN,False,n/a (SMA-dead),False,NONE,,,,0.0,3.0
VIN12_F_SM,1,RED,True,True,False,A1_crank_burst,2025-07-26,128.0,128.0,,
VIN12_NF_SM,0,GREEN,False,n/a (SMA-dead),False,NONE,,,,0.0,1.0
VIN13_F_SM,1,RED,True,False,True,persistence,2025-01-06,301.0,301.0,,
VIN13_NF_SM,0,GREEN,False,n/a (SMA-dead),False,NONE,,,,0.0,2.0
VIN14_F_SM,1,RED,True,False,True,persistence,2025-03-17,245.0,245.0,,
VIN14_NF_SM,0,GREEN,False,False,False,NONE,,,,0.0,2.0
VIN15_NF_SM,0,GREEN,True,True,False,A1_crank_burst,2025-02-08,373.0,373.0,2.0,6.0
VIN16_NF_SM,0,GREEN,False,True,False,A1_crank_burst,2025-09-07,162.0,162.0,1.0,2.0
VIN17_NF_SM,0,GREEN,False,True,False,A1_crank_burst,2025-05-30,262.0,262.0,1.0,1.0
VIN18_NF_SM,0,GREEN,False,False,False,NONE,,,,0.0,1.0
VIN19_NF_SM,0,GREEN,False,False,False,NONE,,,,0.0,4.0
VIN1_F_SM,1,GREEN,True,True,False,A1_crank_burst,2025-04-08,160.0,232.0,,
VIN1_NF_SM,0,GREEN,False,False,False,NONE,,,,0.0,1.0
VIN20_NF_SM,0,RED,False,n/a (SMA-dead),False,NONE,,,,1.0,1.0
VIN2_F_SM,1,RED,True,False,False,persistence,2025-09-22,77.0,77.0,,
VIN2_NF_SM,0,AMBER,True,True,False,persistence,2025-04-14,308.0,308.0,3.0,4.0
VIN3_F_SM,1,GREEN,True,False,True,persistence,2025-06-30,168.0,168.0,,
VIN3_NF_SM,0,GREEN,False,False,False,NONE,,,,0.0,1.0
VIN4_F_SM,1,GREEN,True,False,False,persistence,2025-06-30,28.0,125.0,,
VIN4_NF_SM,0,GREEN,False,True,False,A1_crank_burst,2025-07-04,220.0,220.0,1.0,1.0
VIN5_F_SM,1,RED,True,False,False,persistence,2024-09-30,392.0,424.0,,
VIN5_NF_SM,0,RED,True,True,False,A1_crank_burst,2025-03-25,328.0,328.0,3.0,2.0
VIN6_F_SM,1,RED,True,False,True,persistence,2025-05-19,168.0,168.0,,
VIN6_NF_SM,0,GREEN,False,False,False,NONE,,,,0.0,3.0
VIN7_F_SM,1,RED,True,False,False,persistence,2025-02-10,266.0,266.0,,
VIN7_NF_SM,0,GREEN,False,False,False,NONE,,,,0.0,1.0
VIN8_F_SM,1,RED,True,n/a (SMA-dead),False,persistence,2025-07-14,98.0,135.0,,
VIN8_NF_SM,0,GREEN,True,True,False,A1_crank_burst,2025-06-15,246.0,246.0,2.0,4.0
VIN9_F_SM,1,GREEN,False,n/a (SMA-dead),False,NONE,,,,,
VIN9_NF_SM,0,GREEN,False,True,False,A1_crank_burst,2025-07-16,208.0,208.0,1.0,8.0
