policy,p_convert,cost_level,expected_breakdowns,inspections,fp_nf_inspections,failed_detected,failed_missed,total_cost_INR,savings_vs_P0_INR,savings_pct,C_breakdown_used,C_inspect_used,C_planned_used
P0_run_to_failure,0.5,low,14.0,0,0,0,14,266000,0,0.0,19000,800,4500
P1_RED_tier_only,0.5,low,9.0,12,2,10,4,195100,70900,26.7,19000,800,4500
P2_RED_AMBER,0.5,low,9.0,14,4,10,4,196700,69300,26.1,19000,800,4500
P3_Youden,0.5,low,7.5,18,5,13,1,175750,90250,33.9,19000,800,4500
P4_V11_recommended,0.5,low,7.5,23,10,13,1,203750,62250,23.4,19000,800,4500
P5_quarterly_all,0.5,low,8.5,191,20,11,3,339050,-73050,-27.5,19000,800,4500
P0_run_to_failure,0.5,base,14.0,0,0,0,14,644000,0,0.0,46000,1500,14500
P1_RED_tier_only,0.5,base,9.0,12,2,10,4,489500,154500,24.0,46000,1500,14500
P2_RED_AMBER,0.5,base,9.0,14,4,10,4,492500,151500,23.5,46000,1500,14500
P3_Youden,0.5,base,7.5,18,5,13,1,446750,197250,30.6,46000,1500,14500
P4_V11_recommended,0.5,base,7.5,23,10,13,1,482250,161750,25.1,46000,1500,14500
P5_quarterly_all,0.5,base,8.5,191,20,11,3,757250,-113250,-17.6,46000,1500,14500
P0_run_to_failure,0.5,high,14.0,0,0,0,14,1190000,0,0.0,85000,3000,29500
P1_RED_tier_only,0.5,high,9.0,12,2,10,4,918500,271500,22.8,85000,3000,29500
P2_RED_AMBER,0.5,high,9.0,14,4,10,4,924500,265500,22.3,85000,3000,29500
P3_Youden,0.5,high,7.5,18,5,13,1,844250,345750,29.1,85000,3000,29500
P4_V11_recommended,0.5,high,7.5,23,10,13,1,881250,308750,25.9,85000,3000,29500
P5_quarterly_all,0.5,high,8.5,191,20,11,3,1457750,-267750,-22.5,85000,3000,29500
P0_run_to_failure,0.7,low,14.0,0,0,0,14,266000,0,0.0,19000,800,4500
P1_RED_tier_only,0.7,low,7.0,12,2,10,4,166100,99900,37.6,19000,800,4500
P2_RED_AMBER,0.7,low,7.0,14,4,10,4,167700,98300,37.0,19000,800,4500
P3_Youden,0.7,low,4.9,18,5,13,1,138050,127950,48.1,19000,800,4500
P4_V11_recommended,0.7,low,4.9,23,10,13,1,175650,90350,34.0,19000,800,4500
P5_quarterly_all,0.7,low,6.3,191,20,11,3,307150,-41150,-15.5,19000,800,4500
P0_run_to_failure,0.7,base,14.0,0,0,0,14,644000,0,0.0,46000,1500,14500
P1_RED_tier_only,0.7,base,7.0,12,2,10,4,426500,217500,33.8,46000,1500,14500
P2_RED_AMBER,0.7,base,7.0,14,4,10,4,429500,214500,33.3,46000,1500,14500
P3_Youden,0.7,base,4.9,18,5,13,1,364850,279150,43.3,46000,1500,14500
P4_V11_recommended,0.7,base,4.9,23,10,13,1,411550,232450,36.1,46000,1500,14500
P5_quarterly_all,0.7,base,6.3,191,20,11,3,687950,-43950,-6.8,46000,1500,14500
P0_run_to_failure,0.7,high,14.0,0,0,0,14,1190000,0,0.0,85000,3000,29500
P1_RED_tier_only,0.7,high,7.0,12,2,10,4,807500,382500,32.1,85000,3000,29500
P2_RED_AMBER,0.7,high,7.0,14,4,10,4,813500,376500,31.6,85000,3000,29500
P3_Youden,0.7,high,4.9,18,5,13,1,699950,490050,41.2,85000,3000,29500
P4_V11_recommended,0.7,high,4.9,23,10,13,1,745750,444250,37.3,85000,3000,29500
P5_quarterly_all,0.7,high,6.3,191,20,11,3,1335650,-145650,-12.2,85000,3000,29500
P0_run_to_failure,0.9,low,14.0,0,0,0,14,266000,0,0.0,19000,800,4500
P1_RED_tier_only,0.9,low,5.0,12,2,10,4,137100,128900,48.5,19000,800,4500
P2_RED_AMBER,0.9,low,5.0,14,4,10,4,138700,127300,47.9,19000,800,4500
P3_Youden,0.9,low,2.3,18,5,13,1,100350,165650,62.3,19000,800,4500
P4_V11_recommended,0.9,low,2.3,23,10,13,1,147550,118450,44.5,19000,800,4500
P5_quarterly_all,0.9,low,4.1,191,20,11,3,275250,-9250,-3.5,19000,800,4500
P0_run_to_failure,0.9,base,14.0,0,0,0,14,644000,0,0.0,46000,1500,14500
P1_RED_tier_only,0.9,base,5.0,12,2,10,4,363500,280500,43.6,46000,1500,14500
P2_RED_AMBER,0.9,base,5.0,14,4,10,4,366500,277500,43.1,46000,1500,14500
P3_Youden,0.9,base,2.3,18,5,13,1,282950,361050,56.1,46000,1500,14500
P4_V11_recommended,0.9,base,2.3,23,10,13,1,340850,303150,47.1,46000,1500,14500
P5_quarterly_all,0.9,base,4.1,191,20,11,3,618650,25350,3.9,46000,1500,14500
P0_run_to_failure,0.9,high,14.0,0,0,0,14,1190000,0,0.0,85000,3000,29500
P1_RED_tier_only,0.9,high,5.0,12,2,10,4,696500,493500,41.5,85000,3000,29500
P2_RED_AMBER,0.9,high,5.0,14,4,10,4,702500,487500,41.0,85000,3000,29500
P3_Youden,0.9,high,2.3,18,5,13,1,555650,634350,53.3,85000,3000,29500
P4_V11_recommended,0.9,high,2.3,23,10,13,1,610250,579750,48.7,85000,3000,29500
P5_quarterly_all,0.9,high,4.1,191,20,11,3,1213550,-23550,-2.0,85000,3000,29500
