vin_label,failed,n_cold_starts,n_warm_starts,cold_dip_mean,warm_dip_mean,dip_cold_warm_ratio,cold_dur_mean,warm_dur_mean,dur_cold_warm_ratio,cold_dip_delta90,cold_dur_delta90
VIN10_F_SM,1,78,44,5.051176181206336,3.101889870383523,1.6284189291935758,5.055555555555555,6.9,0.7326892109500804,-0.4797684190772742,0.20000000000000018
VIN11_F_SM,1,88,33,5.327611077915538,3.865638443917939,1.3781969408695778,5.035460992907802,5.607843137254902,0.897931855378664,1.6688354043399594,-0.046296296296296724
VIN12_F_SM,1,160,109,4.237241381406784,3.953470938796297,1.0717775461116419,5.076923076923077,5.291970802919708,0.9593633952254642,-0.20509779134426154,-0.0993377483443707
VIN13_F_SM,1,84,28,5.749133870715187,5.85542801448277,0.9818469045294935,5.131147540983607,5.285714285714286,0.9707576428887905,0.6501021209885094,-0.16842105263157858
VIN14_F_SM,1,208,350,5.463341346153846,4.251470007215228,1.2850476039774323,6.117154811715481,8.371084337349398,0.7307482000178251,1.3637789028867573,2.669813519813519
VIN14_NF_SM,0,136,31,4.9044898818520934,4.248111847908266,1.1545105349019995,5.0,5.0,1.0,0.529937515048613,0.0
VIN15_NF_SM,0,311,466,4.343115506064853,4.2662892116497515,1.0180077558280194,5.209844559585492,5.977611940298507,0.8715595143376479,0.05560490198262347,-0.25077399380804977
VIN16_NF_SM,0,139,62,4.809605344593954,4.746150801258702,1.0133696854550898,5.411111111111111,6.041666666666667,0.895632183908046,1.5196721372329032,-0.38902923132443146
VIN17_NF_SM,0,246,267,3.8583803642086867,3.90592433629411,0.9878277283449549,5.077205882352941,5.003257328990228,1.0147800819546569,0.5090288864938834,-0.0812337421033078
VIN18_NF_SM,0,90,62,4.536996671888564,4.619220564442296,0.9821996175747326,5.106194690265487,5.513698630136986,0.9260924531413182,-1.2998674343793826,-0.09466609466609466
VIN19_NF_SM,0,129,37,5.292322062706763,4.331806492161107,1.2217355674321597,5.09433962264151,5.365853658536586,0.9493996569468267,-0.407883031288403,0.33249158249158217
VIN1_F_SM,1,136,318,4.092813421698177,3.9920486384217844,1.0252413716372528,5.033707865168539,5.544412607449857,0.9078883953198037,0.7380062277599047,-0.0370370370370372
VIN1_NF_SM,0,147,70,4.673940360140638,4.583836473737445,1.0196568719061934,5.055837563451776,5.0,1.0111675126903552,0.5073938850342756,-0.06547619047619069
VIN2_F_SM,1,58,42,4.685134460186136,4.514076505388532,1.0378943410891261,5.053333333333334,5.833333333333333,0.8662857142857144,1.8105419461543741,0.10810810810810789
VIN2_NF_SM,0,116,54,5.173865466282286,5.054885934900354,1.0235375304040915,5.1725888324873095,5.365853658536586,0.9639824642362712,0.41772329192800584,0.0178030303030301
VIN3_F_SM,1,117,109,6.126934149326423,6.44796425705656,0.9502121762882283,5.08955223880597,5.0,1.017910447761194,1.475064191675898,0.20338983050847492
VIN3_NF_SM,0,137,48,4.285946706785773,4.046809871991475,1.059092678519294,5.055865921787709,5.1,0.9913462591740607,-0.3229636916297558,-0.06535947712418277
VIN4_F_SM,1,97,122,4.447194758149767,4.295258264072606,1.0353730753161046,5.048076923076923,5.2611940298507465,0.95949263502455,0.7549635290994146,0.08196721311475397
VIN4_NF_SM,0,272,499,4.977498128133662,5.00754457676339,0.9939997641220901,5.2897727272727275,6.05205047318612,0.8740463667164214,0.2657549058431128,0.0142613743926292
VIN5_F_SM,1,37,30,4.334527917810388,3.1691604614257813,1.367721190065686,5.74468085106383,11.9375,0.48122980951320043,NaN,NaN
VIN5_NF_SM,0,282,350,4.83299290203879,4.686743384769985,1.0312049338446942,5.555555555555555,6.52605459057072,0.8512885509083228,1.056975281546971,0.20463871543264922
VIN6_F_SM,1,106,34,5.34179036122448,5.983082687153535,0.8928157340519471,5.464285714285714,5.0,1.092857142857143,4.5535715070063665,-0.6190476190476186
VIN6_NF_SM,0,257,306,4.926500854789051,4.419878495284935,1.114623594301195,5.569659442724459,7.28,0.7650631102643487,0.10223883680395218,-0.6764705882352944
VIN7_F_SM,1,225,404,4.005474590725369,4.304110949582393,0.9306160174876534,5.058181818181819,5.991416309012876,0.8442380828340714,-0.22771075867317814,-0.07048458149779702
VIN7_NF_SM,0,224,203,3.9816695622035434,4.088395851586252,0.9738953141386003,5.0711974110032365,5.0,1.0142394822006473,0.24844832990154497,-0.02771618625277128
VIN8_NF_SM,0,227,183,4.880825538467206,4.924480881195902,0.9911350366095655,5.169064748201439,6.811659192825112,0.7588554567800665,0.38787173016494236,-0.2025862068965516
VIN9_NF_SM,0,68,23,4.877312940709731,4.185319527335789,1.1653382516804967,5.049019607843137,6.153846153846154,0.8204656862745098,-0.6400987872969637,-0.056179775280899236
