,vsi_withinwk_std_ratio_30d_w,rest_vsi_p05_delta90,vsi_range_trend,dip_depth_last90_delta,hard_start_goodv_rate_delta90,dip_resid_trend_12w,lowv_crank_share_delta90,starts_per_engine_hour_delta90,dose_dip_x_intensity,dropout_share_delta90,dip_seasonal_contrast
vsi_withinwk_std_ratio_30d_w,1.0,-0.20842779813263426,0.8212010741248834,0.2683022826818493,-0.2380849354893287,0.35010051531428527,0.03496474795556345,-0.03188925968436671,0.07068491036086941,-0.2693154246077501,-0.28356445272677505
rest_vsi_p05_delta90,-0.20842779813263426,1.0,-0.3788314740773838,-0.7629290579192275,-0.19392762348974213,-0.20615301393563737,0.1857445601169024,0.154639134003756,0.3333659626407531,-0.13365524107446367,-0.36169602553216346
vsi_range_trend,0.8212010741248834,-0.3788314740773838,1.0,0.49314307383392325,-0.20376188204314938,0.4058886164870441,-0.18355386263054785,-0.08692360369957276,0.04053707890691118,-0.24983597343486402,-0.057589179742975505
dip_depth_last90_delta,0.2683022826818493,-0.7629290579192275,0.49314307383392325,1.0,0.05725345456123039,0.3587497077618295,-0.2598722804132347,-0.04406580717046277,-0.5122044672914855,-0.001781493860377971,0.7864774235438429
hard_start_goodv_rate_delta90,-0.2380849354893287,-0.19392762348974213,-0.20376188204314938,0.05725345456123039,1.0,0.08671794405719897,-0.01211494767433645,0.17703048062506305,-0.3923477622574828,0.42446746655911155,-0.0003351452233548352
dip_resid_trend_12w,0.35010051531428527,-0.20615301393563737,0.4058886164870441,0.3587497077618295,0.08671794405719897,1.0,-0.1330582058888681,0.357870785945355,-0.17585131950448135,-0.08069305554302558,0.045333831497560755
lowv_crank_share_delta90,0.03496474795556345,0.1857445601169024,-0.18355386263054785,-0.2598722804132347,-0.01211494767433645,-0.1330582058888681,1.0,-0.07271328469608986,0.03975193803871866,0.2862809045845805,-0.44404725715805
starts_per_engine_hour_delta90,-0.03188925968436671,0.154639134003756,-0.08692360369957276,-0.04406580717046277,0.17703048062506305,0.357870785945355,-0.07271328469608986,1.0,-0.5408390936357618,0.2874751615895474,-0.3126834663863466
dose_dip_x_intensity,0.07068491036086941,0.3333659626407531,0.04053707890691118,-0.5122044672914855,-0.3923477622574828,-0.17585131950448135,0.03975193803871866,-0.5408390936357618,1.0,-0.4290389112940633,-0.22074737849944398
dropout_share_delta90,-0.2693154246077501,-0.13365524107446367,-0.24983597343486402,-0.001781493860377971,0.42446746655911155,-0.08069305554302558,0.2862809045845805,0.2874751615895474,-0.4290389112940633,1.0,0.046169899615631387
dip_seasonal_contrast,-0.28356445272677505,-0.36169602553216346,-0.057589179742975505,0.7864774235438429,-0.0003351452233548352,0.045333831497560755,-0.44404725715805,-0.3126834663863466,-0.22074737849944398,0.046169899615631387,1.0
